X,Y,TOWNNAME,LONGITUDE,LATITUDE,ISCENTER,icon_url
15.7347757845346,-12.7774264634208,Huambo,15.7349,-12.7774,Province,./0.png
16.0465764873301,-12.6328463202588,Tchikala Tcholohanga,16.0467,-12.6328,District,./0.png
16.2236368798663,-12.5676762698815,Katchiungo,16.2237,-12.5676,District,./0.png
15.8561362872939,-12.1941153966513,Bailundo,15.8562,-12.1941,District,./0.png
15.5534153811348,-12.8515365258445,Caala,15.5535,-12.8515,District,./0.png
15.0660543883793,-12.8603363283635,Ukuma,15.0662,-12.8603,District,./0.png
15.2463847315809,-12.9078464978318,Longonjo,15.2465,-12.9078,District,./0.png
16.2214471842011,-11.8374248564717,Mungo,16.2216,-11.8374,District,./0.png
15.3108251560164,-12.2464252697673,Londuimbali,15.3109,-12.2464,District,./0.png
14.9340741380946,-12.8252562039434,Tchinjenje,14.9342,-12.8252,District,./0.png
16.7557475524804,-13.5171483376974,Chitembo,16.7559,-13.5171,District,./0.png
17.6892189614729,-14.6622309972971,Menongue,17.6893,-14.6622,Province,./0.png
18.6222493368099,-17.6074372143269,Cuangar,18.6224,-17.6074,District,./0.png
16.8926972829585,-14.6532105958857,Cuchi,16.8928,-14.6532,District,./0.png
20.7772539105186,-17.984439152466,Dirico,20.7774,-17.9844,District,./0.png
19.7712017053059,-17.8895484082359,Calai,19.7713,-17.8895,District,./0.png
12.1405473982752,-15.197759151582,Namibe,12.1407,-15.1977,Province,./0.png
11.8568464948081,-15.7996000475478,Tombua,11.8570,-15.7996,District,./0.png
12.9485186657925,-15.7266505329134,Virei,12.9486,-15.7266,District,./0.png
13.3523800121267,-14.7607090170887,Bibala,13.3525,-14.7607,District,./0.png
13.4896001966469,-14.9186493743313,Lubango,13.4897,-14.9186,Province,./0.png
14.1193016806292,-14.4927289213797,Cacula,14.1194,-14.4927,District,./0.png
13.6890504436375,-15.1861499641708,Chibia,13.6892,-15.1861,District,./0.png
15.0602439631749,-13.7327079684033,Caconda,15.0604,-13.7327,District,./0.png
14.6866631804323,-13.7890378970293,Caluquembe,14.6868,-13.7890,District,./0.png
14.0740518074768,-14.0760681328551,Quilengues,14.0742,-14.0760,District,./0.png
